,Time (Hour-Ending),Date,ERCOT.LOAD,ERCOT.PVGR.GEN,"Total Solar Installed, MW","Solar Output, % of Load","Solar Output, % of Installed",Solar 1-hr MW change,Solar 1-hr % change,Daytime Hour,Ramping Daytime Hour
8485,2022-12-20 14:00:00,2022-12-20,46193.07884331597,5995.7177528211805,13949,12.97968852251282,42.98313680422382,74.7,1.2616046637635445,True,True
8486,2022-12-20 15:00:00,2022-12-20,45636.84119140625,6012.547996961805,13949,13.174768104007189,43.10379236477027,16.8,0.2801999809296402,True,True
8487,2022-12-20 16:00:00,2022-12-20,45357.51221354167,5294.472400716146,13949,11.67275748235473,37.95592802864826,-718.1,-11.943355801281959,True,True
8488,2022-12-20 17:00:00,2022-12-20,45841.88152560764,2721.9450931803385,13949,5.9376818808360605,19.513550026384248,-2572.5,-48.58841080467312,True,True
8489,2022-12-20 18:00:00,2022-12-20,47885.805093315976,267.4376234040989,13949,0.5584903979017125,1.9172530174499884,-2454.5,-90.17448611103856,True,True
8490,2022-12-20 19:00:00,2022-12-20,49757.2848828125,0.3076384054621061,13949,0.0006182781198504917,0.0022054513259882865,-267.1,-99.87375620535309,False,True
8491,2022-12-20 20:00:00,2022-12-20,50121.395768229166,0.3174879640009668,13949,0.0006334379941633935,0.0022760625421246452,0.0,0.0,False,False
8492,2022-12-20 21:00:00,2022-12-20,49825.86833767361,0.3317319553428226,13949,0.0006657825872589928,0.0023781773269970796,0.0,0.0,False,False
8493,2022-12-20 22:00:00,2022-12-20,49246.1613671875,0.30963903350962535,13949,0.0006287577039779926,0.002219793773816226,0.0,0.0,False,False
8494,2022-12-20 23:00:00,2022-12-20,47777.57671657986,0.32095543884568745,13949,0.0006717700245653291,0.0023009207745765823,0.0,0.0,False,False
8495,2022-12-21 00:00:00,2022-12-20,46250.653708767364,0.32201015773746705,13949,0.0006962283382308739,0.0023084820255033843,0.0,0.0,False,False
8496,2022-12-21 01:00:00,2022-12-21,45096.817547743056,0.3191802102327347,13949,0.0007077665954916337,0.002288194209138538,0.0,0.0,False,False
8497,2022-12-21 02:00:00,2022-12-21,44724.05723958334,0.31578857769568763,13949,0.0007060821338369024,0.002263879688118773,0.0,0.0,False,False
8498,2022-12-21 03:00:00,2022-12-21,44718.03571614583,0.3105920499894354,13949,0.0006945565587025404,0.002226625922929496,0.0,0.0,False,False
8499,2022-12-21 04:00:00,2022-12-21,45320.306228298614,0.3329083226124446,13949,0.0007345676812849338,0.0023866106718219557,0.0,0.0,False,False
8500,2022-12-21 05:00:00,2022-12-21,46777.7984765625,0.34734974635971916,13949,0.0007425525733831936,0.00249014084421621,0.0,0.0,False,False
8501,2022-12-21 06:00:00,2022-12-21,49159.15643663194,0.33946095963319145,13949,0.0006905345498976773,0.002433586347646365,0.0,0.0,False,False
8502,2022-12-21 07:00:00,2022-12-21,52416.2774891493,0.3650395295603408,13949,0.000696423987063766,0.002616958416806515,0.0,0.0,False,False
8503,2022-12-21 08:00:00,2022-12-21,54048.47284722222,82.79375319331885,13949,0.15318426003885505,0.5935461552320515,82.4,22572.897817188135,True,True
8504,2022-12-21 09:00:00,2022-12-21,54132.238485243055,938.3734781901042,13949,1.7334836032060885,6.727173834612548,855.6,1033.4112985580218,True,True
8505,2022-12-21 10:00:00,2022-12-21,53681.53296875,2060.084127061632,13949,3.837603013797842,14.768686838207987,1121.7,119.5366265214026,True,True
8506,2022-12-21 11:00:00,2022-12-21,52067.33469618056,3524.293210720486,13949,6.768722138909509,25.265561765864835,1464.2,71.07476732459651,True,True
8507,2022-12-21 12:00:00,2022-12-21,50286.9981640625,5089.49642686632,13949,10.120899263586423,36.486460870788726,1565.2,44.41174177105485,True,True
8508,2022-12-21 13:00:00,2022-12-21,48867.83659288195,5552.586065538195,13949,11.362455252105391,39.80633784169614,463.1,9.099132038985196,True,True
8509,2022-12-21 14:00:00,2022-12-21,47691.57642578125,5830.343595513238,13949,12.225101438168135,41.79757398747751,277.8,5.003074184192294,True,True
8510,2022-12-21 15:00:00,2022-12-21,46699.02014756944,6146.633585069444,13949,13.162232452942291,44.06504828352888,316.3,5.425066204389906,True,True
