Time (Hour-Ending),Date,ERCOT.LOAD,ERCOT.PVGR.GEN,"Total Solar Installed, MW","Solar Output, % of Load","Solar Output, % of Installed",Solar 1-hr MW change,Solar 1-hr % change,Daytime Hour,Ramping Daytime Hour
2023-03-30 03:00:00,2023-03-30,35829.050737847225,0.1921810110410054,15096,0.000536383206039,0.0012730591616388,0.0,0.0,0.0,0.0
2023-03-30 04:00:00,2023-03-30,35599.15881727431,0.1893403874999947,15096,0.0005318675884221,0.0012542421005564,0.0,0.0,0.0,0.0
2023-03-30 05:00:00,2023-03-30,36154.87078125,0.1792843807571464,15096,0.0004958789144673,0.0011876283833939,0.0,0.0,0.0,0.0
2023-03-30 06:00:00,2023-03-30,37844.40894748264,0.1921030602852503,15096,0.0005076127904437,0.0012725427946823,0.0,0.0,0.0,0.0
2023-03-30 07:00:00,2023-03-30,40755.05818359375,0.196788488742378,15096,0.0004828566011509,0.0013035803440804,0.0,0.0,0.0,0.0
2023-03-30 08:00:00,2023-03-30,42509.86750217014,21.479666419078907,15096,0.0505286600057795,0.1422871384411692,21.3,10823.803839402668,1.0,1.0
2023-03-30 09:00:00,2023-03-30,42850.651043836806,499.2433292049832,15096,1.1650775823551676,3.3071232724230475,477.8,2224.429330874539,1.0,1.0
2023-03-30 10:00:00,2023-03-30,43626.65006293403,1475.0954605441625,15096,3.3811797569060413,9.771432568522538,975.9,195.4758216908107,1.0,1.0
2023-03-30 11:00:00,2023-03-30,44396.69887586805,1765.087267252604,15096,3.975717366256756,11.692416979680736,290.0,19.659744589887023,1.0,1.0
2023-03-30 12:00:00,2023-03-30,44868.64672743056,2143.606496717665,15096,4.777515376694359,14.199831059338004,378.5,21.44369896164643,1.0,1.0
2023-03-30 13:00:00,2023-03-30,45205.48898654514,2379.0811610243054,15096,5.262814791655964,15.759679127082045,235.5,10.986158157320505,1.0,1.0
2023-03-30 14:00:00,2023-03-30,45778.215208333335,2670.1165554470485,15096,5.832723148544656,17.68757654641659,291.0,12.231612975940296,1.0,1.0
2023-03-30 15:00:00,2023-03-30,45887.44725043403,2652.94859375,15096,5.781425537296383,17.573851309949653,-17.2,-0.6441666362807994,1.0,1.0
2023-03-30 16:00:00,2023-03-30,46055.93912326389,2527.944169108073,15096,5.48885598085905,16.74578808365178,-125.0,-4.711738489561527,1.0,1.0
2023-03-30 17:00:00,2023-03-30,46611.894583333335,2230.2305980088977,15096,4.784681287780876,14.773652610021845,-297.7,-11.776367676072397,1.0,1.0
2023-03-30 18:00:00,2023-03-30,47078.86969618056,1708.1456613498265,15096,3.628263958699939,11.315220332206058,-522.1,-23.41013527776544,1.0,1.0
2023-03-30 19:00:00,2023-03-30,47051.89272135417,946.729980943468,15096,2.012097550570588,6.271396270160758,-761.4,-44.57465292499233,1.0,1.0
2023-03-30 20:00:00,2023-03-30,47456.06679036458,373.9128091133965,15096,0.7879136102137215,2.4768999013871,-572.8,-60.50299573582465,1.0,1.0
2023-03-30 21:00:00,2023-03-30,48209.23631076389,2.9572230373426445,15096,0.0061341420517013,0.0195894477831388,-371.0,-99.22099242325952,0.0,1.0
2023-03-30 22:00:00,2023-03-30,47412.97590494792,0.0367845816687784,15096,7.758336397724334e-05,0.0002436710497401,-2.9,-98.06497390896612,0.0,0.0
2023-03-30 23:00:00,2023-03-30,45434.23032986111,0.0423046056450241,15096,9.311174710759856e-05,0.0002802371863077,0.0,0.0,0.0,0.0
2023-03-31 00:00:00,2023-03-31,43025.95206380208,0.0376396006713103,15096,8.748115698984555e-05,0.0002493349276053,0.0,0.0,0.0,0.0
2023-03-31 01:00:00,2023-03-31,41121.01432942708,0.038078843514021,15096,9.260190716348898e-05,0.0002522445913753,0.0,0.0,0.0,0.0
2023-03-31 02:00:00,2023-03-31,39951.694340277776,0.0352664292505424,15096,8.827267487123374e-05,0.0002336143962012,0.0,0.0,0.0,0.0
2023-03-31 03:00:00,2023-03-31,38979.635546875,0.0389078564993623,15096,9.981585500606758e-05,0.0002577361983264,0.0,0.0,0.0,0.0
2023-03-31 04:00:00,2023-03-31,38521.408046875,0.0283436614481939,15096,7.35789860373322e-05,0.0001877561039228,0.0,0.0,0.0,0.0
2023-03-31 05:00:00,2023-03-31,38804.69950954861,0.0470275553678058,15096,0.0001211903608639,0.0003115232867501,0.0,0.0,0.0,0.0
2023-03-31 06:00:00,2023-03-31,40200.427473958334,0.0445282192103978,15096,0.0001107655366083,0.0002949670058982,0.0,0.0,0.0,0.0
2023-03-31 07:00:00,2023-03-31,42812.56373480903,0.050600956360706,15096,0.0001181918389053,0.0003351944644985,0.0,0.0,0.0,0.0
2023-03-31 08:00:00,2023-03-31,44452.69759982639,67.88817892214335,15096,0.1527200430743003,0.4497097172902978,67.8,133989.56240410078,1.0,1.0
2023-03-31 09:00:00,2023-03-31,44925.72808810764,2699.90953253852,15096,6.009717922085758,17.88493331040355,2632.0,3876.9636213374847,1.0,1.0
2023-03-31 10:00:00,2023-03-31,46218.82488498264,4978.840825737847,15096,10.772322399212632,32.98119253933391,2278.9,84.40653186839647,1.0,1.0
2023-03-31 11:00:00,2023-03-31,47260.6661827257,3991.437298177083,15096,8.445579845922694,26.44036366042053,-987.4,-19.831925433239185,1.0,1.0
2023-03-31 12:00:00,2023-03-31,48552.23612630209,3684.320966254341,15096,7.588365151030484,24.405941747842743,-307.1,-7.693970293364114,1.0,1.0
2023-03-31 13:00:00,2023-03-31,49616.08530381945,4439.520284016927,15096,8.94774397623662,29.408586937049066,755.2,20.49767126472081,1.0,1.0
2023-03-31 14:00:00,2023-03-31,50806.08915581597,4442.844958224827,15096,8.744709604786097,29.43061048108656,3.3,0.0743323554997731,1.0,1.0
2023-03-31 15:00:00,2023-03-31,51485.01019965278,4106.888829481337,15096,7.976863194850904,27.20514592926164,-336.0,-7.562721705558941,1.0,1.0
2023-03-31 16:00:00,2023-03-31,52223.232018229166,4114.349401584202,15096,7.878389066666799,27.254566783149187,7.5,0.1826199907375428,1.0,1.0
2023-03-31 17:00:00,2023-03-31,53025.22753689236,3892.3972886827255,15096,7.34065174161598,25.784295764988908,-222.0,-5.395749809545112,1.0,1.0
2023-03-31 18:00:00,2023-03-31,53246.59314019097,3243.637522515191,15096,6.09172781059464,21.4867350458081,-648.8,-16.66839101667262,1.0,1.0
2023-03-31 19:00:00,2023-03-31,52249.45678168403,2725.066272515191,15096,5.2154920651164725,18.051578381791145,-518.6,-15.988222987316588,1.0,1.0
2023-03-31 20:00:00,2023-03-31,50726.45781032986,901.1456857384576,15096,1.776480607236387,5.969433530328945,-1823.9,-66.93048232975892,1.0,1.0
2023-03-31 21:00:00,2023-03-31,49771.97461588542,6.966276180810398,15096,0.0139963829736966,0.0461465035824748,-894.2,-99.2292383075922,1.0,1.0
2023-03-31 22:00:00,2023-03-31,47639.74710720487,0.6218612224525876,15096,0.0013053411493835,0.0041193774672269,-6.3,-90.43569098443513,0.0,1.0
2023-03-31 23:00:00,2023-03-31,45021.66032552083,0.6188227410448922,15096,0.0013745000441356,0.0040992497419507,0.0,0.0,0.0,0.0
2023-04-01 00:00:00,2023-04-01,42426.808958333335,0.6408918188677893,15096,0.0015105821875437,0.0042454413014559,0.0,0.0,0.0,0.0
2023-04-01 01:00:00,2023-04-01,40268.0241688368,0.6398534923129612,15096,0.0015889865607266,0.0042385631446274,0.0,0.0,0.0,0.0
2023-04-01 02:00:00,2023-04-01,38318.8267686632,0.6394184636407428,15096,0.0016686796479991,0.0042356813966662,0.0,0.0,0.0,0.0
2023-04-01 03:00:00,2023-04-01,36967.57416449653,0.634507437215911,15096,0.0017163891641699,0.0042031494251186,0.0,0.0,0.0,0.0
2023-04-01 04:00:00,2023-04-01,36083.76431640625,0.6455883183744219,15096,0.0017891379422431,0.0042765521884898,0.0,0.0,0.0,0.0
2023-04-01 05:00:00,2023-04-01,35784.434381510415,0.6262315391831927,15096,0.0017500110034064,0.0041483276310492,0.0,0.0,0.0,0.0
2023-04-01 06:00:00,2023-04-01,36130.0475390625,0.6413346600532531,15096,0.0017750728375318,0.0042483748016246,0.0,0.0,0.0,0.0
